Record,DATE, TIME,ALARM_CODE
         1,2025-01-15,15:05:45.245,  2001
         2,2025-01-15,15:06:14.404,  1034
         3,2025-01-15,15:07:29.544,  1035
         4,2025-01-15,15:07:29.983,  1035
         5,2025-01-15,15:07:30.425,  1036
         6,2025-01-15,15:07:37.957,  1037
         7,2025-01-15,15:08:07.104,  1034
         8,2025-01-15,15:12:26.983,  1035
         9,2025-01-15,15:12:27.436,  1022
        10,2025-01-15,15:16:38.493,  1022
        11,2025-01-15,15:16:38.939,  1063
        12,2025-01-15,15:23:03.883,  1064
        13,2025-01-15,15:23:04.326,  1011
